Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
SATP1 1,,,,,,,-67.78838013,-22.96017291,5184.875,Global,"13,9",0.013,0.013,0.014,0.019,1.734,m,FIX,RTK,2025-11-27 11:07:14.6 UTC-03:00,2025-11-27 11:07:14.6 UTC-03:00,1,1.2,1.4,,,,-67.78685015,-22.95982209,5183.606,161.931,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
SATP1 2,,,,,,,-67.78842462,-22.96016225,5184.872,Global,"17,7",0.014,0.014,0.015,0.019,1.734,m,FIX,RTK,2025-11-27 11:07:23.2 UTC-03:00,2025-11-27 11:07:23.2 UTC-03:00,1,1.4,1.6,,,,-67.78685015,-22.95982209,5183.606,166.276,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
SATP1 3,,,,,,,-67.78845794,-22.96013252,5184.876,Global,"11,7",0.013,0.013,0.013,0.018,1.734,m,FIX,RTK,2025-11-27 11:07:31.4 UTC-03:00,2025-11-27 11:07:31.4 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,168.930,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
SATP1 4,,,,,,,-67.78847022,-22.96009139,5184.855,Global,"14,4",0.013,0.013,0.014,0.019,1.734,m,FIX,RTK,2025-11-27 11:07:39.2 UTC-03:00,2025-11-27 11:07:39.2 UTC-03:00,1,1.6,1.9,,,,-67.78685015,-22.95982209,5183.606,169.394,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
SATP1 5,,,,,,,-67.78845859,-22.96004982,5184.867,Global,"8,3",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-27 11:07:48.8 UTC-03:00,2025-11-27 11:07:48.8 UTC-03:00,1,1.7,2.0,,,,-67.78685015,-22.95982209,5183.606,167.236,,SC globale,9,7,4,7,0,Reach RS3,824351435C6D6A75
SATP1 6,,,,,,,-67.78842675,-22.96001931,5184.866,Global,"14,8",0.013,0.013,0.016,0.019,1.734,m,FIX,RTK,2025-11-27 11:07:59.2 UTC-03:00,2025-11-27 11:07:59.2 UTC-03:00,1,1.5,1.8,,,,-67.78685015,-22.95982209,5183.606,163.506,,SC globale,9,7,4,7,0,Reach RS3,824351435C6D6A75
SATP1 7,,,,,,,-67.78838205,-22.96000786,5184.872,Global,"12,7",0.013,0.013,0.015,0.018,1.734,m,FIX,RTK,2025-11-27 11:08:11.2 UTC-03:00,2025-11-27 11:08:11.2 UTC-03:00,1,1.4,1.7,,,,-67.78685015,-22.95982209,5183.606,158.595,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
SATP1 8,,,,,,,-67.78833950,-22.96001741,5184.857,Global,"17,5",0.014,0.014,0.015,0.019,1.734,m,FIX,RTK,2025-11-27 11:08:19.8 UTC-03:00,2025-11-27 11:08:19.8 UTC-03:00,1,1.4,1.6,,,,-67.78685015,-22.95982209,5183.606,154.188,,SC globale,9,7,5,8,0,Reach RS3,824351435C6D6A75
SATP1 9,,,,,,,-67.78830299,-22.96005009,5184.838,Global,"15,8",0.013,0.013,0.021,0.019,1.734,m,FIX,RTK,2025-11-27 11:08:28.8 UTC-03:00,2025-11-27 11:08:28.8 UTC-03:00,1,1.6,1.9,,,,-67.78685015,-22.95982209,5183.606,150.873,,SC globale,7,7,5,8,0,Reach RS3,824351435C6D6A75
SATP1 11,,,,,,,-67.78830347,-22.96013108,5184.885,Global,"16,0",0.013,0.013,0.014,0.019,1.734,m,FIX,RTK,2025-11-27 11:09:20.4 UTC-03:00,2025-11-27 11:09:20.4 UTC-03:00,1,1.2,1.4,,,,-67.78685015,-22.95982209,5183.606,152.781,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP1 12,,,,,,,-67.78833563,-22.96016119,5184.844,Global,"14,5",0.013,0.013,0.014,0.019,1.734,m,FIX,RTK,2025-11-27 11:09:29.2 UTC-03:00,2025-11-27 11:09:29.2 UTC-03:00,1,1.4,1.6,,,,-67.78685015,-22.95982209,5183.606,156.872,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP1 10,,,,,,,-67.78829014,-22.96008936,5185.133,Global,,0.012,0.024,0.030,0.027,2.134,m,FLOAT,RTK,2025-11-27 11:19:17.8 UTC-03:00,2025-11-27 11:19:47.8 UTC-03:00,151,1.9,2.3,,,,-67.78685015,-22.95982209,5183.606,150.780,,SC globale,8,6,5,8,0,Reach RS3,824351435C6D6A75
SATP2 1,,,,,,,-67.78823454,-22.96004835,5184.871,Global,"13,8",0.013,0.013,0.020,0.019,1.734,m,FIX,RTK,2025-11-27 11:21:26.4 UTC-03:00,2025-11-27 11:21:26.4 UTC-03:00,1,1.7,2.0,,,,-67.78685015,-22.95982209,5183.606,144.660,,SC globale,7,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 2,,,,,,,-67.78824617,-22.96008944,5184.910,Global,"10,6",0.013,0.013,0.018,0.018,1.734,m,FIX,RTK,2025-11-27 11:21:34.8 UTC-03:00,2025-11-27 11:21:34.8 UTC-03:00,1,1.2,1.3,,,,-67.78685015,-22.95982209,5183.606,146.659,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 3,,,,,,,-67.78823334,-22.96013059,5184.904,Global,"14,0",0.013,0.013,0.015,0.019,1.734,m,FIX,RTK,2025-11-27 11:21:47.0 UTC-03:00,2025-11-27 11:21:47.0 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,146.461,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 4,,,,,,,-67.78820046,-22.96016035,5184.848,Global,"12,6",0.013,0.013,0.014,0.019,1.734,m,FIX,RTK,2025-11-27 11:21:55.8 UTC-03:00,2025-11-27 11:21:55.8 UTC-03:00,1,1.1,1.3,,,,-67.78685015,-22.95982209,5183.606,143.961,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 5,,,,,,,-67.78815575,-22.96017142,5184.909,Global,"11,9",0.013,0.013,0.018,0.019,1.734,m,FIX,RTK,2025-11-27 11:22:06.4 UTC-03:00,2025-11-27 11:22:06.4 UTC-03:00,1,1.4,1.6,,,,-67.78685015,-22.95982209,5183.606,139.667,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 6,,,,,,,-67.78811119,-22.96015957,5184.861,Global,"12,5",0.013,0.013,0.014,0.019,1.734,m,FIX,RTK,2025-11-27 11:22:21.8 UTC-03:00,2025-11-27 11:22:21.8 UTC-03:00,1,1.4,1.6,,,,-67.78685015,-22.95982209,5183.606,134.663,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 7,,,,,,,-67.78807891,-22.96012921,5184.876,Global,"12,4",0.013,0.013,0.017,0.019,1.734,m,FIX,RTK,2025-11-27 11:22:34.6 UTC-03:00,2025-11-27 11:22:34.6 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,130.372,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 8,,,,,,,-67.78806732,-22.96008758,5184.878,Global,"9,9",0.014,0.014,0.018,0.019,1.734,m,FIX,RTK,2025-11-27 11:22:43.0 UTC-03:00,2025-11-27 11:22:43.0 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,128.091,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 9,,,,,,,-67.78807867,-22.96004835,5184.869,Global,"10,5",0.013,0.013,0.020,0.018,1.734,m,FIX,RTK,2025-11-27 11:22:54.4 UTC-03:00,2025-11-27 11:22:54.4 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,128.324,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 10,,,,,,,-67.78811542,-22.96001540,5184.863,Global,"7,9",0.013,0.013,0.013,0.018,1.734,m,FIX,RTK,2025-11-27 11:23:05.8 UTC-03:00,2025-11-27 11:23:05.8 UTC-03:00,1,1.5,1.7,,,,-67.78685015,-22.95982209,5183.606,131.503,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 11,,,,,,,-67.78815753,-22.96000588,5184.864,Global,"7,8",0.012,0.012,0.013,0.018,1.734,m,FIX,RTK,2025-11-27 11:23:13.6 UTC-03:00,2025-11-27 11:23:13.6 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,135.730,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP2 12,,,,,,,-67.78820238,-22.96001753,5184.853,Global,"9,8",0.013,0.013,0.013,0.018,1.734,m,FIX,RTK,2025-11-27 11:23:22.4 UTC-03:00,2025-11-27 11:23:22.4 UTC-03:00,1,1.4,1.6,,,,-67.78685015,-22.95982209,5183.606,140.615,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP3 1,,,,,,,-67.78803264,-22.95997331,5184.851,Global,"6,7",0.012,0.012,0.019,0.017,1.734,m,FIX,RTK,2025-11-27 11:23:54.0 UTC-03:00,2025-11-27 11:23:54.0 UTC-03:00,1,1.5,1.7,,,,-67.78685015,-22.95982209,5183.606,122.755,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP3 2,,,,,,,-67.78802107,-22.95993219,5184.872,Global,"13,8",0.014,0.014,0.014,0.019,1.734,m,FIX,RTK,2025-11-27 11:24:01.2 UTC-03:00,2025-11-27 11:24:01.2 UTC-03:00,1,1.5,1.7,,,,-67.78685015,-22.95982209,5183.606,121.210,,SC globale,7,7,5,8,0,Reach RS3,824351435C6D6A75
SATP3 3,,,,,,,-67.78798864,-22.95990143,5184.871,Global,"13,6",0.013,0.013,0.017,0.019,1.734,m,FIX,RTK,2025-11-27 11:24:08.4 UTC-03:00,2025-11-27 11:24:08.4 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,117.504,,SC globale,7,7,4,8,0,Reach RS3,824351435C6D6A75
SATP3 4,,,,,,,-67.78794398,-22.95989001,5184.840,Global,"17,9",0.014,0.014,0.015,0.019,1.734,m,FIX,RTK,2025-11-27 11:24:17.2 UTC-03:00,2025-11-27 11:24:17.2 UTC-03:00,1,1.4,1.6,,,,-67.78685015,-22.95982209,5183.606,112.553,,SC globale,6,7,4,7,0,Reach RS3,824351435C6D6A75
SATP3 5,,,,,,,-67.78790129,-22.95989960,5184.873,Global,"12,1",0.013,0.013,0.018,0.018,1.734,m,FIX,RTK,2025-11-27 11:24:39.8 UTC-03:00,2025-11-27 11:24:39.8 UTC-03:00,1,1.4,1.7,,,,-67.78685015,-22.95982209,5183.606,108.142,,SC globale,7,7,5,8,0,Reach RS3,824351435C6D6A75
SATP3 6,,,,,,,-67.78786553,-22.95993265,5184.847,Global,"14,4",0.013,0.013,0.021,0.019,1.734,m,FIX,RTK,2025-11-27 11:24:48.8 UTC-03:00,2025-11-27 11:24:48.8 UTC-03:00,1,1.4,1.7,,,,-67.78685015,-22.95982209,5183.606,104.641,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP3 7,,,,,,,-67.78785436,-22.95997200,5184.890,Global,,0.012,0.012,0.020,0.017,2.134,m,FLOAT,RTK,2025-11-27 11:26:20.0 UTC-03:00,2025-11-27 11:26:50.0 UTC-03:00,151,1.6,1.8,,,,-67.78685015,-22.95982209,5183.606,104.461,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP3 8,,,,,,,-67.78786559,-22.96001338,5184.936,Global,"11,9",0.013,0.013,0.017,0.019,1.734,m,FIX,RTK,2025-11-27 11:28:08.6 UTC-03:00,2025-11-27 11:28:08.6 UTC-03:00,1,1.5,1.8,,,,-67.78685015,-22.95982209,5183.606,106.201,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP3 9,,,,,,,-67.78789752,-22.96004390,5184.862,Global,"7,7",0.013,0.013,0.018,0.018,1.734,m,FIX,RTK,2025-11-27 11:28:19.4 UTC-03:00,2025-11-27 11:28:19.4 UTC-03:00,1,1.4,1.7,,,,-67.78685015,-22.95982209,5183.606,110.197,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP3 10,,,,,,,-67.78794199,-22.96005543,5184.873,Global,"9,8",0.013,0.013,0.015,0.018,1.734,m,FIX,RTK,2025-11-27 11:28:27.4 UTC-03:00,2025-11-27 11:28:27.4 UTC-03:00,1,1.4,1.7,,,,-67.78685015,-22.95982209,5183.606,115.199,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP3 11,,,,,,,-67.78798690,-22.96004469,5184.877,Global,"7,8",0.013,0.013,0.015,0.018,1.734,m,FIX,RTK,2025-11-27 11:28:35.0 UTC-03:00,2025-11-27 11:28:35.0 UTC-03:00,1,1.2,1.4,,,,-67.78685015,-22.95982209,5183.606,119.417,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
SATP3 12,,,,,,,-67.78801986,-22.96001490,5184.863,Global,"9,8",0.013,0.013,0.013,0.018,1.734,m,FIX,RTK,2025-11-27 11:28:42.4 UTC-03:00,2025-11-27 11:28:42.4 UTC-03:00,1,1.2,1.4,,,,-67.78685015,-22.95982209,5183.606,122.243,,SC globale,8,7,5,7,0,Reach RS3,824351435C6D6A75
Target 3,,,,,,,-67.78736756,-22.96086373,5183.842,Global,"3,2",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 11:34:27.6 UTC-03:00,2025-11-27 11:34:27.6 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,127.163,,SC globale,8,6,6,8,0,Reach RS3,824351435C6D6A75
Target 35,,,,,,,-67.78736586,-22.96065370,5183.247,Global,"0,6",0.012,0.012,0.011,0.016,1.734,m,FIX,RTK,2025-11-27 11:34:57.2 UTC-03:00,2025-11-27 11:34:57.2 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,106.312,,SC globale,8,6,6,8,0,Reach RS3,824351435C6D6A75
Target 36,,,,,,,-67.78738459,-22.96039111,5183.246,Global,"3,8",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 11:35:26.4 UTC-03:00,2025-11-27 11:35:26.4 UTC-03:00,1,1.1,1.3,,,,-67.78685015,-22.95982209,5183.606,83.691,,SC globale,8,6,6,8,0,Reach RS3,824351435C6D6A75
Target 4,,,,,,,-67.78738677,-22.96019006,5184.025,Global,"2,8",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 11:36:06.0 UTC-03:00,2025-11-27 11:36:06.0 UTC-03:00,1,1.1,1.3,,,,-67.78685015,-22.95982209,5183.606,68.579,,SC globale,8,6,6,8,0,Reach RS3,824351435C6D6A75
Target 11,,,,,,,-67.78741901,-22.95995026,5184.030,Global,"4,0",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 11:36:39.4 UTC-03:00,2025-11-27 11:36:39.4 UTC-03:00,1,1.1,1.3,,,,-67.78685015,-22.95982209,5183.606,60.106,,SC globale,8,6,6,8,0,Reach RS3,824351435C6D6A75
Launchpad 1,,,,,,,-67.78691110,-22.95972448,5182.789,Global,"1,0",0.012,0.012,0.011,0.016,1.734,m,FIX,RTK,2025-11-27 12:09:15.6 UTC-03:00,2025-11-27 12:09:15.6 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,12.547,,SC globale,7,7,5,8,0,Reach RS3,824351435C6D6A75
Launchpad 2,,,,,,,-67.78693129,-22.95975204,5182.721,Global,"3,6",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 12:09:23.6 UTC-03:00,2025-11-27 12:09:23.6 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,11.366,,SC globale,7,7,5,8,0,Reach RS3,824351435C6D6A75
Launchpad 3,,,,,,,-67.78690143,-22.95977003,5182.615,Global,"1,6",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 12:09:35.8 UTC-03:00,2025-11-27 12:09:35.8 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,7.832,,SC globale,7,7,5,8,0,Reach RS3,824351435C6D6A75
Launchpad 4,,,,,,,-67.78688119,-22.95974239,5182.671,Global,"1,6",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 12:09:43.0 UTC-03:00,2025-11-27 12:09:43.0 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,9.377,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
Launchpad center,,,,,,,-67.78690650,-22.95974721,5182.665,Global,"0,4",0.011,0.011,0.010,0.016,1.734,m,FIX,RTK,2025-11-27 12:09:57.6 UTC-03:00,2025-11-27 12:09:57.6 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,10.151,,SC globale,8,7,5,8,0,Reach RS3,824351435C6D6A75
DJI rtk base (antenna base),,,,,,,-67.78669706,-22.95977498,5182.214,Global,"2,4",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 13:33:05.6 UTC-03:00,2025-11-27 13:33:05.6 UTC-03:00,1,1.2,1.3,,,,-67.78685015,-22.95982209,5183.606,16.488,,SC globale,7,6,7,7,0,Reach RS3,824351435C6D6A75
Target 2,,,,,,,-67.78634829,-22.96034696,5178.632,Global,"1,8",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-28 09:55:45.0 UTC-03:00,2025-11-28 09:55:45.0 UTC-03:00,1,1.2,1.3,,,,-67.78685015,-22.95982209,5183.606,77.821,,SC globale,9,6,7,6,0,Reach RS3,824351435C6D6A75
Class1 1,,,,,,,-67.78728334,-22.95970801,5183.898,Global,"7,6",0.013,0.013,0.018,0.019,1.734,m,FIX,RTK,2025-11-28 09:58:40.6 UTC-03:00,2025-11-28 09:58:40.6 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,46.336,,SC globale,9,6,7,6,0,Reach RS3,824351435C6D6A75
Class1 2,,,,,,,-67.78730639,-22.95972948,5183.956,Global,"14,7",0.015,0.015,0.015,0.021,1.734,m,FIX,RTK,2025-11-28 09:58:48.0 UTC-03:00,2025-11-28 09:58:48.0 UTC-03:00,1,1.2,1.3,,,,-67.78685015,-22.95982209,5183.606,48.384,,SC globale,9,6,7,6,0,Reach RS3,824351435C6D6A75
Class1 3,,,,,,,-67.78728325,-22.95975045,5183.941,Global,"21,3",0.016,0.016,0.020,0.022,1.734,m,FIX,RTK,2025-11-28 09:58:57.6 UTC-03:00,2025-11-28 09:58:57.6 UTC-03:00,1,1.2,1.4,,,,-67.78685015,-22.95982209,5183.606,45.220,,SC globale,8,6,7,6,0,Reach RS3,824351435C6D6A75
Class1 4,,,,,,,-67.78725975,-22.95972943,5183.884,Global,"15,8",0.015,0.015,0.018,0.021,1.734,m,FIX,RTK,2025-11-28 09:59:10.6 UTC-03:00,2025-11-28 09:59:10.6 UTC-03:00,1,1.4,1.5,,,,-67.78685015,-22.95982209,5183.606,42.849,,SC globale,9,6,7,6,0,Reach RS3,824351435C6D6A75
Class2 1,,,,,,,-67.78719860,-22.95978490,5183.904,Global,"8,5",0.013,0.013,0.024,0.019,1.734,m,FIX,RTK,2025-11-28 09:59:26.4 UTC-03:00,2025-11-28 09:59:26.4 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,36.158,,SC globale,9,6,7,6,0,Reach RS3,824351435C6D6A75
Class2 2,,,,,,,-67.78722150,-22.95980666,5183.878,Global,"16,6",0.014,0.014,0.015,0.020,1.734,m,FIX,RTK,2025-11-28 09:59:37.2 UTC-03:00,2025-11-28 09:59:37.2 UTC-03:00,1,1.3,1.5,,,,-67.78685015,-22.95982209,5183.606,38.638,,SC globale,9,6,7,6,0,Reach RS3,824351435C6D6A75
Class2 3,,,,,,,-67.78719842,-22.95982765,5183.921,Global,"20,7",0.015,0.015,0.019,0.021,1.734,m,FIX,RTK,2025-11-28 09:59:47.6 UTC-03:00,2025-11-28 09:59:47.6 UTC-03:00,1,1.2,1.4,,,,-67.78685015,-22.95982209,5183.606,35.732,,SC globale,9,6,7,6,0,Reach RS3,824351435C6D6A75
Class2 4,,,,,,,-67.78717534,-22.95980663,5183.929,Global,"16,4",0.014,0.014,0.022,0.020,1.734,m,FIX,RTK,2025-11-28 09:59:55.4 UTC-03:00,2025-11-28 09:59:55.4 UTC-03:00,1,1.5,1.8,,,,-67.78685015,-22.95982209,5183.606,32.992,,SC globale,8,6,7,6,0,Reach RS3,824351435C6D6A75
Dji rtk base (antenna head),,,,,,,-67.78669737,-22.95977493,5182.496,Global,"13,1",0.014,0.014,0.014,0.019,1.734,m,FIX,RTK,2025-11-28 12:13:41.4 UTC-03:00,2025-11-28 12:13:41.4 UTC-03:00,1,1.1,1.3,,,,-67.78685015,-22.95982209,5183.606,16.170,,SC globale,7,6,9,6,0,Reach RS3,824351435C6D6A75
